user_id,acquisition_channel,signup_date,first_transaction_date,churned,retained,tx_frequency_30d,tx_frequency_60,tx_frequency_90,cac_usd,ltv_90_usd
1,Referrals,2025-04-03,2025-04-11,False,True,7,9,12,4,1118.43
2,Paid Ads,2025-04-14,,False,True,0,0,0,12,0.0
3,Social Media,2025-06-07,2025-06-19,False,True,4,6,12,8,233.55
4,Paid Ads,2025-01-15,,True,False,0,0,0,12,0.0
5,Paid Ads,2025-02-24,,True,False,0,0,0,12,0.0
6,Referrals,2025-01-18,,True,False,0,0,0,4,0.0
7,Social Media,2025-01-09,2025-01-11,True,False,3,4,4,8,151.59
8,Paid Ads,2025-03-22,2025-03-30,True,False,2,3,3,12,106.44
9,Paid Ads,2025-01-04,2025-01-06,True,False,2,3,3,12,140.9
10,Social Media,2025-02-09,,True,False,0,0,0,8,0.0
11,Referrals,2025-01-24,2025-02-05,False,True,5,6,11,4,1166.66
12,Organic Search,2025-02-02,2025-02-12,False,True,1,5,12,6,989.14
13,Social Media,2025-01-12,,False,True,0,0,0,8,0.0
14,Organic Search,2025-04-14,2025-04-17,False,True,5,12,18,6,958.56
15,Social Media,2025-01-05,,True,False,0,0,0,8,0.0
16,Referrals,2025-02-11,2025-02-14,False,True,7,8,12,4,930.15
17,Referrals,2025-05-12,,False,True,0,0,0,4,0.0
18,Paid Ads,2025-06-09,,True,False,0,0,0,12,0.0
19,Social Media,2025-06-19,,True,False,0,0,0,8,0.0
20,Paid Ads,2025-01-30,,False,True,0,0,0,12,0.0
21,Paid Ads,2025-05-09,2025-05-23,False,True,5,6,9,12,405.41
22,Referrals,2025-06-14,2025-06-24,False,True,7,10,16,4,1448.69
23,Paid Ads,2025-06-29,2025-06-30,False,True,4,10,17,12,471.43
24,Paid Ads,2025-03-22,2025-03-24,True,False,2,2,2,12,89.52
25,Paid Ads,2025-05-09,2025-05-11,True,False,2,3,3,12,193.29
26,Paid Ads,2025-05-03,2025-05-09,True,False,2,3,3,12,168.26
27,Referrals,2025-05-24,,False,True,0,0,0,4,0.0
28,Paid Ads,2025-05-27,2025-06-03,False,True,1,8,10,12,528.62
29,Social Media,2025-01-11,,False,True,0,0,0,8,0.0
30,Social Media,2025-03-01,2025-03-02,False,True,4,9,14,8,401.04
31,Social Media,2025-01-09,2025-01-12,True,False,3,4,4,8,159.61
32,Organic Search,2025-03-16,,True,False,0,0,0,6,0.0
33,Organic Search,2025-04-22,2025-04-25,True,False,2,3,3,6,203.99
34,Referrals,2025-06-18,2025-06-22,False,True,5,9,16,4,931.89
35,Organic Search,2025-05-08,2025-05-20,False,True,6,13,19,6,1563.73
36,Organic Search,2025-01-21,2025-02-02,True,False,1,1,1,6,66.65
37,Paid Ads,2025-02-17,2025-02-20,True,False,1,2,2,12,85.98
38,Paid Ads,2025-01-24,2025-02-07,True,False,3,4,4,12,205.7
39,Social Media,2025-06-09,,True,False,0,0,0,8,0.0
40,Social Media,2025-02-27,,False,True,0,0,0,8,0.0
41,Paid Ads,2025-06-24,,False,True,0,0,0,12,0.0
